gk,jenis_MAKANAN,daerah_PERKOTAAN,provinsi_JAWA TIMUR,periode_SEPTEMBER,Cluster,jenis_original,daerah_original,provinsi_original,periode_original,gk_original
-0.04776462205932279,1.4999999999999998,1.4142135623730951,-0.17149858514250885,-1.0,12,MAKANAN,PERKOTAAN,ACEH,MARET,293697.0
0.010044809836544382,1.4999999999999998,1.4142135623730951,-0.17149858514250885,1.0,13,MAKANAN,PERKOTAAN,ACEH,SEPTEMBER,302128.0
0.038260420351488446,1.4999999999999998,1.4142135623730951,-0.17149858514250885,-1.0,12,MAKANAN,PERKOTAAN,ACEH,MARET,306243.0
0.1309982410597797,1.4999999999999998,1.4142135623730951,-0.17149858514250885,1.0,13,MAKANAN,PERKOTAAN,ACEH,SEPTEMBER,319768.0
-0.02183231611338878,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAAN,ACEH,MARET,297479.0
0.041647664967377235,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAAN,ACEH,SEPTEMBER,306737.0
0.10308432844584597,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAAN,ACEH,MARET,315697.0
0.1658717757083837,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAAN,ACEH,SEPTEMBER,324854.0
-0.02918963083575451,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAANPERKOTAAN,ACEH,MARET,296406.0
0.032672152412319695,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAANPERKOTAAN,ACEH,SEPTEMBER,305428.0
0.08322712114298375,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAANPERKOTAAN,ACEH,MARET,312801.0
0.15691683346475868,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAANPERKOTAAN,ACEH,SEPTEMBER,323548.0
0.20220580246869685,1.4999999999999998,1.4142135623730951,-0.17149858514250885,-1.0,12,MAKANAN,PERKOTAAN,ACEH,MARET,330153.0
0.3232826555605273,1.4999999999999998,1.4142135623730951,-0.17149858514250885,1.0,13,MAKANAN,PERKOTAAN,ACEH,SEPTEMBER,347811.0
0.3504766072743227,1.4999999999999998,1.4142135623730951,-0.17149858514250885,-1.0,12,MAKANAN,PERKOTAAN,ACEH,MARET,351777.0
0.40904028392271574,1.4999999999999998,1.4142135623730951,-0.17149858514250885,1.0,13,MAKANAN,PERKOTAAN,ACEH,SEPTEMBER,360318.0
0.2098442447806404,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAAN,ACEH,MARET,331267.0
0.31134501815918647,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAAN,ACEH,SEPTEMBER,346070.0
0.3651363825552341,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAAN,ACEH,MARET,353915.0
0.4237480565969697,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,4,MAKANAN,PERDESAAN,ACEH,SEPTEMBER,362463.0
0.20772550270309054,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAANPERKOTAAN,ACEH,MARET,330958.0
0.31464998152934515,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAANPERKOTAAN,ACEH,SEPTEMBER,346552.0
