peng_winsor,gk_winsor,ump_scaled_winsor,Cluster
395136.0,293697.0,14.457364444136669,0
395136.0,302128.0,14.457364444136669,0
395136.0,297479.0,14.457364444136669,0
395136.0,306737.0,14.457364444136669,0
395136.0,296406.0,14.457364444136669,0
395136.0,305428.0,14.457364444136669,0
303463.0,116717.0,14.457364444136669,0
303463.0,118196.0,14.457364444136669,0
303463.0,84638.0,14.457364444136669,0
303463.0,87682.0,14.457364444136669,0
303463.0,93744.0,14.457364444136669,0
303463.0,96344.0,14.457364444136669,0
655319.0,410414.0,14.457364444136669,1
655319.0,420324.0,14.457364444136669,1
655319.0,382117.0,14.457364444136669,1
655319.0,394419.0,14.457364444136669,1
655319.0,390150.0,14.457364444136669,1
655319.0,401772.0,14.457364444136669,1
466355.0,293697.0,14.457364444136669,0
466355.0,302128.0,14.457364444136669,0
466355.0,297479.0,14.457364444136669,0
466355.0,306737.0,14.457364444136669,0
466355.0,296406.0,14.457364444136669,0
466355.0,305428.0,14.457364444136669,0
529945.0,116717.0,14.457364444136669,0
529945.0,118196.0,14.457364444136669,0
529945.0,84638.0,14.457364444136669,0
529945.0,87682.0,14.457364444136669,0
529945.0,93744.0,14.457364444136669,0
529945.0,96344.0,14.457364444136669,0
996300.0,410414.0,14.457364444136669,1
996300.0,420324.0,14.457364444136669,1
996300.0,382117.0,14.457364444136669,1
996300.0,394419.0,14.457364444136669,1
996300.0,390150.0,14.457364444136669,1
996300.0,401772.0,14.457364444136669,1
415354.0,293697.0,14.457364444136669,0
415354.0,302128.0,14.457364444136669,0
415354.0,297479.0,14.457364444136669,0
415354.0,306737.0,14.457364444136669,0
415354.0,296406.0,14.457364444136669,0
415354.0,305428.0,14.457364444136669,0
336764.0,116717.0,14.457364444136669,0
336764.0,118196.0,14.457364444136669,0
336764.0,84638.0,14.457364444136669,0
336764.0,87682.0,14.457364444136669,0
336764.0,93744.0,14.457364444136669,0
336764.0,96344.0,14.457364444136669,0
752118.0,410414.0,14.457364444136669,1
752118.0,420324.0,14.457364444136669,1
752118.0,382117.0,14.457364444136669,1
752118.0,394419.0,14.457364444136669,1
752118.0,390150.0,14.457364444136669,1
752118.0,401772.0,14.457364444136669,1
412251.0,306243.0,14.56621884904875,0
412251.0,319768.0,14.56621884904875,0
412251.0,315697.0,14.56621884904875,0
412251.0,324854.0,14.56621884904875,0
412251.0,312801.0,14.56621884904875,0
412251.0,323548.0,14.56621884904875,0
303463.0,121727.0,14.56621884904875,0
303463.0,125719.0,14.56621884904875,0
303463.0,88288.0,14.56621884904875,0
303463.0,90972.0,14.56621884904875,0
303463.0,98155.0,14.56621884904875,0
303463.0,101217.0,14.56621884904875,0
685080.0,427970.0,14.56621884904875,1
685080.0,445488.0,14.56621884904875,1
685080.0,403985.0,14.56621884904875,1
685080.0,415826.0,14.56621884904875,1
685080.0,410956.0,14.56621884904875,1
685080.0,424765.0,14.56621884904875,1
548853.0,306243.0,14.56621884904875,0
548853.0,319768.0,14.56621884904875,0
548853.0,315697.0,14.56621884904875,0
548853.0,324854.0,14.56621884904875,0
548853.0,312801.0,14.56621884904875,0
548853.0,323548.0,14.56621884904875,0
559492.0,121727.0,14.56621884904875,0
559492.0,125719.0,14.56621884904875,0
559492.0,88288.0,14.56621884904875,0
559492.0,90972.0,14.56621884904875,0
559492.0,98155.0,14.56621884904875,0
559492.0,101217.0,14.56621884904875,0
1108346.0,427970.0,14.56621884904875,2
1108346.0,445488.0,14.56621884904875,2
1108346.0,403985.0,14.56621884904875,2
1108346.0,415826.0,14.56621884904875,2
1108346.0,410956.0,14.56621884904875,2
1108346.0,424765.0,14.56621884904875,2
451952.0,306243.0,14.56621884904875,0
451952.0,319768.0,14.56621884904875,0
451952.0,315697.0,14.56621884904875,0
451952.0,324854.0,14.56621884904875,0
451952.0,312801.0,14.56621884904875,0
451952.0,323548.0,14.56621884904875,0
356142.0,121727.0,14.56621884904875,0
356142.0,125719.0,14.56621884904875,0
356142.0,88288.0,14.56621884904875,0
356142.0,90972.0,14.56621884904875,0
356142.0,98155.0,14.56621884904875,0
356142.0,101217.0,14.56621884904875,0
808094.0,427970.0,14.56621884904875,1
808094.0,445488.0,14.56621884904875,1
808094.0,403985.0,14.56621884904875,1
808094.0,415826.0,14.56621884904875,1
808094.0,410956.0,14.56621884904875,1
808094.0,424765.0,14.56621884904875,1
494150.0,330153.0,14.73180128983843,0
494150.0,347811.0,14.73180128983843,0
494150.0,331267.0,14.73180128983843,0
494150.0,346070.0,14.73180128983843,0
494150.0,330958.0,14.73180128983843,0
494150.0,346552.0,14.73180128983843,0
303463.0,127858.0,14.73180128983843,0
303463.0,132061.0,14.73180128983843,0
303463.0,94463.0,14.73180128983843,0
303463.0,96799.0,14.73180128983843,0
303463.0,104496.0,14.73180128983843,0
303463.0,107572.0,14.73180128983843,0
781155.0,458011.0,14.73180128983843,1
781155.0,479872.0,14.73180128983843,1
781155.0,425730.0,14.73180128983843,1
781155.0,442869.0,14.73180128983843,1
781155.0,435454.0,14.73180128983843,1
781155.0,454124.0,14.73180128983843,1
610732.0,330153.0,14.73180128983843,0
610732.0,347811.0,14.73180128983843,0
610732.0,331267.0,14.73180128983843,0
610732.0,346070.0,14.73180128983843,0
610732.0,330958.0,14.73180128983843,0
610732.0,346552.0,14.73180128983843,0
576134.0,127858.0,14.73180128983843,0
576134.0,132061.0,14.73180128983843,0
576134.0,94463.0,14.73180128983843,0
576134.0,96799.0,14.73180128983843,0
576134.0,104496.0,14.73180128983843,0
576134.0,107572.0,14.73180128983843,0
